Date,AAPL,MSFT,SPY,aapl_ret,msft_ret,spy_ret
04-11-2015,27.33917427,47.10453033,176.7506866,-0.004661149,0.004606091,-0.003037976
05-11-2015,27.21314049,47.08720398,176.5742645,-0.004620666,-0.000367895,-0.000998639
06-11-2015,27.24464798,47.55478287,176.4817963,0.001157135,0.009881084,-0.000523816
09-11-2015,27.13438034,46.89672852,174.8349457,-0.004055526,-0.013934451,-0.009375373
10-11-2015,26.27918625,46.33387375,175.238327,-0.032024343,-0.012074611,0.002304555
11-11-2015,26.13065147,46.45511627,174.5492706,-0.005668217,0.002613297,-0.003939861
12-11-2015,26.0428772,46.16936493,172.1125793,-0.003364708,-0.006170124,-0.014058261
13-11-2015,25.28220367,45.75374985,170.1800842,-0.029643567,-0.009042729,-0.011291598
16-11-2015,25.69630241,46.55902481,172.7679901,0.01624637,0.017447106,0.015092402
17-11-2015,25.58602905,46.17546082,172.6419678,-0.004300644,-0.008272353,-0.000729697
18-11-2015,26.39620781,46.94257355,175.381073,0.031173894,0.016476509,0.015741267
19-11-2015,26.73153114,47.02102661,175.2298584,0.012623454,0.001669861,-0.000862578
20-11-2015,26.84855843,47.2389679,175.8684387,0.00436832,0.004624267,0.003637619
23-11-2015,26.49973679,47.2389679,175.6667633,-0.013077329,0,-0.001147398
24-11-2015,26.75403976,47.29128647,175.9020538,0.009550681,0.001106917,0.001338518
25-11-2015,26.56274223,46.80309296,175.8768463,-0.007175915,-0.010376771,-0.000143314
27-11-2015,26.51323891,47.01232529,176.0784607,-0.001865376,0.004460518,0.001145682
30-11-2015,26.62351418,47.37844849,175.3474731,0.004150627,0.007757645,-0.004160129
01-12-2015,26.40746498,48.13684082,177.0195465,-0.008148082,0.015880353,0.009490593
02-12-2015,26.16890717,48.1281395,175.2130737,-0.009074778,-0.000180779,-0.010257361
03-12-2015,25.92585373,47.24768829,172.7595978,-0.009331272,-0.018463299,-0.014101777
04-12-2015,26.78780174,48.73834991,176.1289368,0.032705941,0.031062465,0.019315302
07-12-2015,26.61901665,48.65118027,175.0617981,-0.006320753,-0.001790124,-0.006077279
08-12-2015,26.60775948,48.63374329,173.8855133,-0.000422989,-0.000358472,-0.00674193
09-12-2015,26.0203743,47.92764664,172.5327301,-0.022323025,-0.014625084,-0.007810155
