Date,AAPL_RESID,MSFT_RESID,SPY_RESID
29-01-2018,-0.021440711,0.000264539,-0.005390349
30-01-2018,-0.009722404,-0.013734753,-0.012513704
31-01-2018,0.001958574,0.022305276,-0.000275277
01-02-2018,0.000501566,-0.005880249,-0.001040949
02-02-2018,-0.046177142,-0.028740599,-0.023429736
05-02-2018,-0.027887408,-0.046603994,-0.044343427
06-02-2018,0.038706278,0.031398692,0.015315462
07-02-2018,-0.021558551,-0.018386379,-0.00192523
08-02-2018,-0.032919497,-0.055813626,-0.041011399
09-02-2018,0.011829979,0.026898552,0.011012473
12-02-2018,0.039746172,0.01620704,0.018559527
13-02-2018,0.008085299,0.004364882,-4.66E-06
14-02-2018,0.018482537,0.016941327,0.014420509
15-02-2018,0.034178359,0.022541822,0.012564699
16-02-2018,-0.000758768,-0.005660381,0.000454279
20-02-2018,-0.004992568,0.00729646,-0.006887578
21-02-2018,-0.003109125,-0.013244186,-0.006445272
22-02-2018,0.007158412,0.00084327,0.001239386
23-02-2018,0.016363971,0.023016091,0.014798823
26-02-2018,0.019333429,0.017608551,0.012994148
27-02-2018,-0.003323886,-0.013232694,-0.013266507
28-02-2018,-0.00160688,-0.004973541,-0.011828992
01-03-2018,-0.017873057,-0.011762615,-0.01545164
02-03-2018,0.005650289,0.000347926,0.003531562
05-03-2018,0.002114988,0.003901648,0.011844526
06-03-2018,-0.001620847,-0.002915119,0.00294634
07-03-2018,-0.011394474,0.003228956,-0.001674315
08-03-2018,0.010929123,0.006832863,0.005092085
09-03-2018,0.0155586,0.021228967,0.01640136
12-03-2018,0.01002428,0.004684226,0.000182484
13-03-2018,-0.011051986,-0.024880002,-0.008277125
14-03-2018,-0.008040376,-0.009441256,-0.005811756
15-03-2018,-0.000383985,0.001903721,-0.001575702
16-03-2018,-0.003843654,0.002766755,-5.89E-05
19-03-2018,-0.017924794,-0.019486412,-0.013198398
20-03-2018,-0.001387915,-0.000307065,-0.001025381
21-03-2018,-0.024424891,-0.008252577,-0.000871812
22-03-2018,-0.016466048,-0.031362922,-0.026752062
23-03-2018,-0.025928024,-0.035566184,-0.024244295
26-03-2018,0.044454408,0.068452088,0.026112164
27-03-2018,-0.026769223,-0.041350355,-0.015350756
28-03-2018,-0.013249143,-0.006864716,-0.005713352
29-03-2018,0.00588934,0.018350311,0.011946428
02-04-2018,-0.004284403,-0.025247447,-0.01947401
03-04-2018,0.004372218,0.002870894,0.007057877
04-04-2018,0.021812907,0.033981915,0.015184042
05-04-2018,0.004329005,-0.000272916,0.005232097
06-04-2018,-0.024618267,-0.022402183,-0.021662786
09-04-2018,0.007217918,0.001923267,0.002517204
10-04-2018,0.02008152,0.023822912,0.0152809
11-04-2018,-0.006634046,-0.010858807,-0.002489036
12-04-2018,0.008659459,0.016810189,0.003428642
13-04-2018,0.004033589,-0.003836252,0.001143256
16-04-2018,0.005581295,0.011120408,0.003929046
17-04-2018,0.012789847,0.019166752,0.013132091
18-04-2018,-0.001625305,0.007497166,-8.58E-05
19-04-2018,-0.030247477,-0.005323435,-0.006716038
20-04-2018,-0.043000752,-0.010544688,-0.008209361
23-04-2018,-0.005892254,0.000212096,-0.002926958
24-04-2018,-0.015895455,-0.02367652,-0.011952938
25-04-2018,0.000323336,-0.013818391,-0.00107478
26-04-2018,0.001840207,0.018437743,0.01168084
27-04-2018,-0.01225377,0.017391242,0.000428493
30-04-2018,0.0154244,-0.024042572,-0.008724778
01-05-2018,0.024139021,0.012787882,0.001425483
02-05-2018,0.042161719,-0.014716017,-0.007867134
03-05-2018,0.003536295,0.003271037,-0.002301488
04-05-2018,0.038813297,0.0095741,0.011161839
07-05-2018,0.009746535,0.013353279,0.005350201
08-05-2018,0.005695173,-0.006025931,-0.002077903
09-05-2018,0.006096937,0.012883667,0.010081174
10-05-2018,0.016564276,0.008982952,0.009186203
11-05-2018,-0.006046457,-1.54E-05,0.002938194
14-05-2018,-0.001327038,0.000765402,0.000203283
15-05-2018,-0.011178642,-0.005868077,-0.007818459
16-05-2018,0.009615308,-0.000541733,0.003527987
17-05-2018,-0.008640435,-0.010033683,-0.001221087
18-05-2018,-0.003804365,-0.001093982,-0.002807203
21-05-2018,0.004610926,0.011870769,0.006159767
22-05-2018,-0.001528009,-0.000584728,-0.001770599
23-05-2018,0.003391825,0.010468676,0.000843453
24-05-2018,-0.00019546,-0.002490885,-0.001553568
25-05-2018,0.00032878,-0.000544915,-0.00344234
29-05-2018,-0.003666327,-0.004718912,-0.012446496
30-05-2018,-0.003538833,0.008735168,0.012422264
31-05-2018,-0.004202432,-0.001881362,-0.0059616
01-06-2018,0.016627739,0.01920978,0.009166599
04-06-2018,0.00801742,0.00940447,0.003999566
05-06-2018,0.007012399,0.006691853,0.002062713
06-06-2018,0.003171199,0.001987794,0.005459807
07-06-2018,-0.002310733,-0.01451648,0.002594047
08-06-2018,-0.010460987,0.003400499,-0.000227737
11-06-2018,-0.003024061,-0.005064831,0.002935982
12-06-2018,0.003880083,-9.85E-05,-0.000291535
13-06-2018,-0.008928089,-0.005412328,-0.003371756
14-06-2018,-0.001553539,0.004383776,0.002061463
15-06-2018,-0.010652107,-0.013876526,-0.002319921
18-06-2018,-0.002339486,0.005305914,-0.001647884
19-06-2018,-0.017505767,-0.001176626,-0.005843299
20-06-2018,0.002583043,0.009810655,0.002317574
21-06-2018,-0.007009132,-0.008318671,-0.007827623
22-06-2018,-0.004045688,-0.007448867,0.001700217
25-06-2018,-0.01716363,-0.023643886,-0.014643786
26-06-2018,0.011743623,0.004648858,0.001016142
27-06-2018,-0.003201083,-0.01814214,-0.008705513
28-06-2018,0.006765607,0.009015847,0.004942224
29-06-2018,-0.003898546,-0.002054941,0.000796535
02-07-2018,0.011862982,0.014973144,0.002700903
03-07-2018,-0.019453545,-0.011185836,-0.005438794
05-07-2018,0.007883406,0.007742025,0.008926285
06-07-2018,0.011943824,0.011555113,0.007097966
09-07-2018,0.014835272,0.010013038,0.010337142
10-07-2018,-0.003702944,0.000289013,0.002235326
11-07-2018,-0.011325603,0.000759048,-0.006692625
12-07-2018,0.014004517,0.018901329,0.00692083
13-07-2018,0.003231829,0.014996176,0.00196516
16-07-2018,-0.005109857,-0.00520298,-0.001996655
17-07-2018,0.00302047,0.009676378,0.003146585
18-07-2018,-0.006213163,-0.007402488,0.002865848
19-07-2018,0.006469866,-0.008410785,-0.005543432
20-07-2018,-0.002913008,0.015213265,-0.000744177
23-07-2018,-0.0001264,0.017675779,0.000240288
24-07-2018,0.006088491,-0.002784682,0.005610598
25-07-2018,0.009427981,0.028866162,0.007589314
26-07-2018,-0.004366584,-0.007949906,-0.001856255
27-07-2018,-0.017039643,-0.019131307,-0.008056276
30-07-2018,-0.007344273,-0.025445873,-0.006218941
31-07-2018,0.001344494,0.004203783,0.00449733
01-08-2018,0.055242107,-0.001256008,-0.002157523
02-08-2018,0.030222537,0.012010035,0.005121724
03-08-2018,0.003135224,0.003106183,0.003657267
06-08-2018,0.006062005,0.002492473,0.004067955
07-08-2018,-0.006902261,0.004728593,0.002074531
08-08-2018,-0.001442719,0.007291681,0.000154707
09-08-2018,0.007865372,0.000112181,-0.002870022
10-08-2018,-0.004283605,-0.005602087,-0.006663057
13-08-2018,0.005293941,-0.009652975,-0.00524725
14-08-2018,0.003838603,0.011092581,0.005920631
15-08-2018,0.001772783,-0.014047489,-0.007268016
16-08-2018,0.013474683,-0.002559828,0.006227309
17-08-2018,0.020236576,-0.002361032,0.004463577
20-08-2018,-0.010122495,-0.006912204,0.001341662
21-08-2018,-0.002612997,-0.011839702,0.001683427
22-08-2018,-0.000122434,0.009133881,-0.000270735
23-08-2018,0.001441186,0.003435824,-0.002964732
24-08-2018,0.001210026,0.008042853,0.006455811
27-08-2018,0.008129951,0.010231456,0.006951947
28-08-2018,0.006885351,0.007840562,0.00116635
29-08-2018,0.01494499,0.015040516,0.004015032
30-08-2018,0.008701234,0.001679161,-0.003634504
31-08-2018,0.011869468,0.002316813,-0.001219768
04-09-2018,0.002930564,-0.005367205,-0.002219029
05-09-2018,-0.006242517,-0.030700751,-0.002877072
06-09-2018,-0.018055639,-0.002781591,-0.004565685
07-09-2018,-0.008943784,-0.006109144,-0.001616515
10-09-2018,-0.015552639,0.008136389,8.27E-05
11-09-2018,0.023090433,0.016111909,0.003901509
12-09-2018,-0.013378468,0.006351601,-0.000823601
13-09-2018,0.022298705,0.009706103,0.005749535
14-09-2018,-0.011489476,0.00602526,-2.58E-05
17-09-2018,-0.026931932,-0.011483191,-0.006032625
18-09-2018,-0.002136564,0.007774864,0.004493834
19-09-2018,0.002437138,-0.013414299,0.001237406
20-09-2018,0.002818271,0.014021806,0.007355181
21-09-2018,-0.009984507,0.006248108,-0.000844333
24-09-2018,0.011680801,0.004467125,-0.003922003
25-09-2018,0.007255445,-0.003648156,-0.002202475
26-09-2018,-0.00948962,-0.003213153,-0.00268932
27-09-2018,0.019325634,0.000736882,0.001088093
28-09-2018,0.004397398,0.000298259,0.000789371
01-10-2018,0.005343414,0.00843776,0.002142133
02-10-2018,0.008666901,-0.002807258,-0.000413979
03-10-2018,0.01264001,-0.001688306,-0.000202752
04-10-2018,-0.018655333,-0.021448343,-0.008559322
05-10-2018,-0.01704094,-0.009471026,-0.006310521
08-10-2018,-0.004056267,-0.014132562,-0.001447795
09-10-2018,0.01309064,0.009963686,-0.000949916
10-10-2018,-0.049732359,-0.056974982,-0.033843316
11-10-2018,-0.011589673,-0.009536162,-0.024741064
12-10-2018,0.033591563,0.030188596,0.011914862
15-10-2018,-0.021080544,-0.014155418,-0.003610034
16-10-2018,0.016383081,0.024473501,0.01890322
17-10-2018,-0.000982938,0.003561362,0.002630904
18-10-2018,-0.025803568,-0.022209958,-0.015979254
19-10-2018,0.012962887,-0.001681117,-0.003141894
22-10-2018,0.007343065,0.00888966,-0.002532558
23-10-2018,0.006486311,-0.015592114,-0.008612428
24-10-2018,-0.034768592,-0.057412584,-0.02924063
25-10-2018,0.019672794,0.048540976,0.012871448
26-10-2018,-0.01578879,-0.007470309,-0.01434161
29-10-2018,-0.021143723,-0.032588746,-0.008882067
30-10-2018,0.001717224,-0.007221572,0.013387718
31-10-2018,0.027321507,0.031369913,0.014251505
01-11-2018,0.011905466,-0.010380171,0.006337351
02-11-2018,-0.067032867,0.002925061,-0.001463284
05-11-2018,-0.033598855,0.010224317,0.000182915
06-11-2018,0.011238745,0.005348898,0.009679301
07-11-2018,0.026344598,0.03522358,0.019048078
08-11-2018,-0.005910651,0.004663574,-0.000136958
09-11-2018,-0.019907469,-0.021569011,-0.010655771
12-11-2018,-0.052632469,-0.026631536,-0.021637558
13-11-2018,-0.0122456,-0.003368052,-0.001194357
14-11-2018,-0.031767978,-0.016852805,-0.009834774
15-11-2018,0.0208256,0.018186377,0.012139914
16-11-2018,0.008494963,0.009790776,0.000368413
19-11-2018,-0.040045604,-0.033256927,-0.015207927
20-11-2018,-0.053907407,-0.034442087,-0.023063826
21-11-2018,-0.000590866,0.01052154,0.003912208
23-11-2018,-0.030204322,-0.002319528,-0.007680754
26-11-2018,0.010151923,0.030778623,0.015196779
27-11-2018,-0.004916717,0.008499913,0.004357109
28-11-2018,0.037956026,0.038444153,0.021947501
29-11-2018,-0.009406511,-0.005551276,-0.001033288
30-11-2018,-0.003793323,0.0078153,0.005228632
03-12-2018,0.031454177,0.008862413,0.012167254
04-12-2018,-0.040478023,-0.028671815,-0.03065703
06-12-2018,-0.018327531,-0.001897187,-0.00784705
07-12-2018,-0.033751836,-0.03874792,-0.020298889
10-12-2018,0.001643349,0.017524634,-0.002600578
11-12-2018,-0.007792276,0.010684216,0.001021587
12-12-2018,0.001021139,0.004830444,0.00557118
13-12-2018,0.008183038,0.001339816,-0.0031844
14-12-2018,-0.031071516,-0.029107575,-0.015679258
17-12-2018,-0.013815102,-0.037108687,-0.025999042
18-12-2018,0.013722556,0.006856828,0.001259812
19-12-2018,-0.034012376,-0.005174227,-0.01824742
20-12-2018,-0.028844517,-0.023075681,-0.016284923
21-12-2018,-0.041386059,-0.037764035,-0.023367209
24-12-2018,-0.029331483,-0.046846229,-0.027887142
26-12-2018,0.063313358,0.05709306,0.046761045
27-12-2018,-0.004825266,0.012048679,0.012375155
28-12-2018,-0.003815978,-0.008853112,-0.003005008
31-12-2018,0.011274311,0.010092073,0.006817662
02-01-2019,0.002941124,-0.000453565,0.004311268
03-01-2019,-0.108256681,-0.041765091,-0.028860617
04-01-2019,0.038228844,0.041724186,0.034345898
07-01-2019,-0.002325645,0.00380029,0.007703322
08-01-2019,0.016035256,0.007638612,0.01093071
09-01-2019,0.012154313,0.012253133,0.002042697
10-01-2019,0.009761528,-0.001289817,0.006226138
11-01-2019,-0.016126597,-0.012716414,-0.003053914
14-01-2019,-0.010186602,-0.006017485,-0.003928609
15-01-2019,0.014380377,0.024202014,0.008115519
16-01-2019,0.015724496,0.00720841,0.004689334
17-01-2019,0.00135703,0.005353144,0.005953254
18-01-2019,0.008489231,0.016156827,0.01324623
22-01-2019,-0.024259669,-0.017474464,-0.012240473
23-01-2019,0.003738173,0.006406696,-0.001774004
24-01-2019,-0.009601162,-0.004335548,0.002774007
25-01-2019,0.031832197,0.007619926,0.006157606
28-01-2019,-0.010646694,-0.020735055,-0.006615936
29-01-2019,-0.010161521,-0.022557638,-0.002845444
