Date,AAPL,MSFT,SPY
12-04-2016,24.98947525,47.98202515,174.9475098
13-04-2016,25.35151482,48.59661102,176.7146606
14-04-2016,25.36509132,48.6053772,176.723114
15-04-2016,24.85597992,48.8599968,176.52771
18-04-2016,24.31970978,49.57117081,177.7680817
19-04-2016,24.19073868,49.50972366,178.3288269
20-04-2016,24.24051666,48.80732346,178.4987488
21-04-2016,23.97804451,48.97413635,177.538681
22-04-2016,23.91242218,45.46218109,177.538681
25-04-2016,23.77666092,45.75192261,177.2328186
26-04-2016,23.6114769,45.1636734,177.4962616
27-04-2016,22.1339283,44.72467041,177.8615417
28-04-2016,21.45737457,43.8115654,176.2472992
29-04-2016,21.21073723,43.78522873,175.2957764
02-05-2016,21.18811226,44.43495178,176.6890869
03-05-2016,21.53657341,43.70621109,175.1513519
04-05-2016,21.31256104,43.78522873,174.1743469
05-05-2016,21.22604942,43.8466835,174.1403503
06-05-2016,21.10767365,44.24179077,174.7775116
09-05-2016,21.12361145,43.96083069,174.9219818
10-05-2016,21.26702881,44.79491425,177.0969543
11-05-2016,21.05986786,44.82125473,175.4402924
12-05-2016,20.5658741,45.22512436,175.4912262
13-05-2016,20.60684013,44.84759903,173.9619141
16-05-2016,21.37174606,45.50609207,175.6780853
17-05-2016,21.2829628,44.65732193,174.0384216
18-05-2016,21.5265522,44.92256165,174.0894318
19-05-2016,21.44460106,44.48934555,173.4861603
20-05-2016,21.67679977,44.75457764,174.5821381
23-05-2016,21.95225334,44.23295212,174.3443146
24-05-2016,22.28689957,45.61217117,176.6040802
25-05-2016,22.67845917,46.08077621,177.8020477
26-05-2016,22.85830498,45.87741852,177.8530426
27-05-2016,22.84463692,46.25760651,178.6176758
31-05-2016,22.73309326,46.8588028,178.2778625
01-06-2016,22.41437912,46.7261734,178.6431885
02-06-2016,22.24592781,46.39906693,179.1869049
03-06-2016,22.29145432,45.78900528,178.6516876
06-06-2016,22.45308685,46.08961487,179.5606995
07-06-2016,22.54414368,46.06308746,179.841095
08-06-2016,22.52366257,46.01004791,180.4273529
09-06-2016,22.68528938,45.63870621,180.1808777
10-06-2016,22.49861145,45.51494217,178.4732361
13-06-2016,22.1594162,44.33020401,177.0969543
14-06-2016,22.18673515,44.0561142,176.7485352
15-06-2016,22.1138916,43.93233871,176.5021973
16-06-2016,22.20722771,44.55122757,177.0289459
17-06-2016,21.70183945,44.32135391,176.3696747
20-06-2016,21.64947319,44.26831055,177.5055389
21-06-2016,21.83388138,45.25853348,178.0093231
22-06-2016,21.75192642,45.08169937,177.7190247
23-06-2016,21.87712669,45.89511871,180.0333862
24-06-2016,21.26247215,44.0561142,173.5685425
27-06-2016,20.95287323,42.81834793,170.4599457
28-06-2016,21.30572891,43.7112999,173.5343933
29-06-2016,21.49012947,44.68383408,176.4892273
30-06-2016,21.76330757,45.24087143,178.8974915
01-07-2016,21.82932472,45.2320137,179.2733307
05-07-2016,21.62443924,45.24087143,177.9837189
06-07-2016,21.74737358,45.42651367,179.0512543
07-07-2016,21.84071159,45.42651367,178.9402313
08-07-2016,22.0091629,46.23992538,181.6047363
11-07-2016,22.07746696,46.49629974,182.2451935
12-07-2016,22.17762756,47.04446411,183.568985
13-07-2016,22.05241776,47.30971146,183.5433502
14-07-2016,22.48950958,47.51306152,184.5681458
15-07-2016,22.4872303,47.47769928,184.3204956
18-07-2016,22.72626686,47.70756531,184.8158417
19-07-2016,22.73536491,46.93836975,184.6278992
20-07-2016,22.75585747,49.43162537,185.3964691
21-07-2016,22.63520813,49.33436966,184.6962433
22-07-2016,22.45990753,50.01513672,185.5246887
25-07-2016,22.1594162,50.15660477,185.0206909
26-07-2016,22.00688744,50.18313217,185.1061859
27-07-2016,23.43653107,49.67916107,184.909729
28-07-2016,23.75296402,49.69685364,185.123291
29-07-2016,23.72336769,50.11240387,185.4221344
01-08-2016,24.14224243,50.02399445,185.2684326
02-08-2016,23.78483009,50.02399445,184.0813293
03-08-2016,24.08305168,50.36878586,184.6193695
04-08-2016,24.23182678,50.74012375,184.8158417
05-08-2016,24.60033226,51.2440834,186.3274078
08-08-2016,24.80403328,51.33249664,186.2163849
09-08-2016,24.90474129,51.45626068,186.3274078
10-08-2016,24.71934509,51.29713058,185.866272
11-08-2016,24.7033329,51.54468536,186.7287445
12-08-2016,24.76054955,51.22639847,186.5665588
15-08-2016,25.05810165,51.38554382,187.1045227
16-08-2016,25.03521156,51.10085297,186.1394958
17-08-2016,24.99859238,51.20761108,186.4896545
18-08-2016,24.96654129,51.24320984,186.9081268
19-08-2016,25.0306263,51.26098251,186.6348114
22-08-2016,24.83607864,51.30545807,186.6263123
23-08-2016,24.91389847,51.50118256,187.0020447
24-08-2016,24.72621346,51.55457306,186.045578
25-08-2016,24.62093353,51.75029373,185.9174805
26-08-2016,24.47673607,51.62574005,185.5673065
29-08-2016,24.44927025,51.68801498,186.4811554
30-08-2016,24.26158142,51.50118256,186.173645
31-08-2016,24.28447533,51.11864471,185.6441498
01-09-2016,24.42866898,51.23430252,185.6527557
02-09-2016,24.6575489,51.30545807,186.4896545
06-09-2016,24.65068054,51.2521019,187.0533295
07-09-2016,24.80174828,51.29656982,187.0362396
08-09-2016,24.15171432,51.09195328,186.6092682
09-09-2016,23.60469246,50.00659561,182.1427612
12-09-2016,24.13341331,50.75388718,184.7559967
13-09-2016,24.70790672,50.29128265,182.1000824
14-09-2016,25.58223534,50.05109024,182.031723
15-09-2016,26.45199776,50.87844467,183.8507843
16-09-2016,26.30322456,50.93183517,183.1400757
19-09-2016,25.99651527,50.64712906,183.1744537
20-09-2016,25.99422836,50.54039001,183.1830139
21-09-2016,25.98965073,51.38554001,185.242981
22-09-2016,26.23455429,51.4389267,186.4102783
23-09-2016,25.79739189,51.09195328,185.3888702
26-09-2016,25.83629608,50.62045288,183.8868408
27-09-2016,25.88435936,51.55457306,185.0283966
28-09-2016,26.08119202,51.62574005,185.9467621
29-09-2016,25.6760788,51.0652771,184.2644653
30-09-2016,25.87520599,51.24320984,185.6549225
03-10-2016,25.75390053,51.08306503,185.2086639
04-10-2016,25.86375809,50.92293167,184.2644653
05-10-2016,25.87520599,51.27880096,185.0799255
06-10-2016,26.06747437,51.36775589,185.2086639
07-10-2016,26.10638237,51.42113495,184.5734863
10-10-2016,26.56185341,51.63464355,185.5348053
11-10-2016,26.61907387,50.87844467,183.1915436
12-10-2016,26.85711861,50.80728149,183.4319458
13-10-2016,26.77471542,50.63823318,182.8311005
14-10-2016,26.92349434,51.08306503,182.9254761
17-10-2016,26.90517998,50.90513992,182.2903442
18-10-2016,26.88686943,51.29656982,183.4319458
19-10-2016,26.8067646,51.18093109,183.9211884
20-10-2016,26.79303169,50.93183517,183.5778503
21-10-2016,26.68774414,53.07586288,183.6636658
24-10-2016,26.92807198,54.26797485,184.4446716
25-10-2016,27.06539917,54.25907516,183.8267365
26-10-2016,26.45656967,53.93880081,183.4577026
27-10-2016,26.20250893,53.4672966,182.9684448
28-10-2016,26.02855492,53.26268768,182.4276733
31-10-2016,25.98736191,53.30715942,182.4362793
01-11-2016,25.51815224,53.20041275,181.1144257
02-11-2016,25.54103661,52.87124252,180.0243683
03-11-2016,25.26727295,52.67552567,179.2004242
04-11-2016,25.03951645,52.23069763,179.0029602
07-11-2016,25.40070724,53.75199127,182.9512482
08-11-2016,25.55023956,53.79645538,183.7752838
09-11-2016,25.50883102,53.52957916,185.7236176
10-11-2016,24.79795265,52.22179413,186.1871796
11-11-2016,24.94519043,52.50650024,185.7579651
14-11-2016,24.31943512,51.70581436,185.9039154
15-11-2016,24.64151382,52.7268486,187.3544464
16-11-2016,25.30408478,53.42546082,187.002533
17-11-2016,25.29487991,54.31215286,187.9638367
18-11-2016,25.3201828,54.05240631,187.5432892
21-11-2016,25.70438194,54.50918961,188.9595032
22-11-2016,25.72048759,54.74205017,189.3285675
23-11-2016,25.58934975,54.09719467,189.4315948
25-11-2016,25.71818161,54.21362686,190.1353607
28-11-2016,25.66757584,54.28527451,189.2427216
29-11-2016,25.64226723,54.71518707,189.6118469
30-11-2016,25.42601395,53.97180176,189.1569061
01-12-2016,25.18905067,53.02240753,188.4617615
02-12-2016,25.28338242,53.06719589,188.5561371
05-12-2016,25.10162926,53.93597412,189.6891174
06-12-2016,25.29487991,53.69414902,190.289856
07-12-2016,25.54333687,54.96598053,192.7790222
08-12-2016,25.79410744,54.64352798,193.2511139
09-12-2016,26.21510696,55.50337219,194.4184265
12-12-2016,26.06557846,55.68247986,194.1952362
13-12-2016,26.50038338,56.40797424,195.4913483
14-12-2016,26.50038338,56.13925934,193.8776703
15-12-2016,26.64531898,56.04970551,194.6759338
16-12-2016,26.67982864,55.79892349,194.2951813
19-12-2016,26.83396339,56.98117447,194.7182465
20-12-2016,26.90528679,56.90954208,195.4693146
21-12-2016,26.93058968,56.90954208,194.925415
22-12-2016,26.75344658,56.91848373,194.5887299
23-12-2016,26.8063488,56.64084244,194.8736725
27-12-2016,26.97660255,56.67667007,195.3571472
28-12-2016,26.86157036,56.41692734,193.7425995
29-12-2016,26.85466766,56.33631897,193.6994171
30-12-2016,26.64531898,55.65562439,192.9914703
03-01-2017,26.72123909,56.04970551,194.4678345
04-01-2017,26.69133377,55.79892349,195.6247864
05-01-2017,26.82706261,55.79892349,195.4693146
06-01-2017,27.1261425,56.28257751,196.1687469
09-01-2017,27.37460327,56.10344696,195.5212555
10-01-2017,27.40220451,56.08553314,195.5212555
11-01-2017,27.54944992,56.59605408,196.0737457
12-01-2017,27.43442154,56.0765686,195.5816193
13-01-2017,27.38610649,56.15717316,196.0305634
17-01-2017,27.6069603,56.00491714,195.3398285
18-01-2017,27.60466003,55.97805405,195.7715302
19-01-2017,27.5563488,55.79892349,195.0463562
20-01-2017,27.6069603,56.19301224,195.7628784
23-01-2017,27.6253624,56.39004898,195.2535095
24-01-2017,27.6000576,56.89162064,196.5054474
25-01-2017,28.03947067,57.03492355,198.2062988
26-01-2017,28.05327606,57.56334305,197.9990845
27-01-2017,28.0555706,58.9157753,197.6882935
30-01-2017,27.98195267,58.33361435,196.4621887
31-01-2017,27.9175415,57.90371323,196.4450073
01-02-2017,29.61996078,56.94536209,196.5226746
02-02-2017,29.5693531,56.57813263,196.6522217
03-02-2017,29.6958828,57.03492355,198.0077362
