Date,AAPL,MSFT,SPY,aapl_ret,msft_ret,spy_ret,roll_mean_aapl,roll_mean_msft,roll_mean_spy,roll_var_aapl,roll_var_msft,roll_var_spy,corr_aapl_msft,corr_aapl_spy,corr_msft_spy
25-01-2018,39.99824905,84.54173279,249.3509216,-0.018012526,0.005538883,0.00042343,-0.001073154,0.003654083,0.002730917,0.000117167,6.46E-05,1.59E-05,0.440877412,0.631043024,0.797850029
26-01-2018,40.09176254,86.12580109,252.2378693,0.002335211,0.018563739,0.01151134,0.000261703,0.004599364,0.003336077,8.56E-05,7.36E-05,1.86E-05,0.422154858,0.577617372,0.825831203
29-01-2018,39.26192856,85.99762726,250.565567,-0.02091558,-0.001489325,-0.006651937,-0.000742655,0.004355886,0.002996145,0.000106925,7.53E-05,2.30E-05,0.44216769,0.669623316,0.800499913
30-01-2018,39.03050613,84.91714478,247.9955292,-0.005911762,-0.012643692,-0.010309912,-0.001157944,0.003748269,0.002407322,0.00010745,8.85E-05,3.15E-05,0.457024106,0.628989764,0.835180848
31-01-2018,39.13802719,86.99567413,248.1187134,0.002751008,0.024182381,0.000496596,-0.000509192,0.004999911,0.002610873,0.000103053,0.000106006,2.97E-05,0.429228512,0.597605634,0.713693748
01-02-2018,39.21983719,86.30892181,247.8371124,0.002088113,-0.007925421,-0.001135589,-0.001254836,0.004394806,0.00221717,8.61E-05,0.000113972,2.92E-05,0.433054905,0.56091053,0.732444007
02-02-2018,37.51808929,84.03813171,242.4416809,-0.044359472,-0.026662329,-0.022010535,-0.00335889,0.002904078,0.000868809,0.000174336,0.000159863,5.58E-05,0.638169537,0.782126929,0.822804462
05-02-2018,36.58071518,80.57698822,232.3022003,-0.025302004,-0.042057542,-0.042722079,-0.004784421,0.000484053,-0.001365868,0.000193083,0.000253074,0.000145029,0.678135508,0.718916786,0.882481713
06-02-2018,38.10950089,83.626091,236.8790588,0.040942424,0.037142462,0.019510599,-0.003373895,0.001665972,-0.000753064,0.000282571,0.000311793,0.00016322,0.749383299,0.748180152,0.894681537
07-02-2018,37.29367065,82.05119324,235.5939941,-0.021639994,-0.019012204,-0.005439751,-0.004227174,0.000712077,-0.001099103,0.000298483,0.000332196,0.00016386,0.763614419,0.744697531,0.884718441
08-02-2018,36.26747513,77.83920288,226.7571411,-0.027902287,-0.052698163,-0.038230378,-0.005550368,-0.001764997,-0.003027269,0.000323825,0.000468289,0.000228328,0.771729792,0.754931321,0.919876549
09-02-2018,36.71108627,80.74179077,230.1634216,0.01215745,0.036611097,0.014910004,-0.004960523,0.000194802,-0.002244342,0.000337722,0.000537506,0.00024366,0.783987703,0.767885446,0.92238358
12-02-2018,38.18976974,81.61169434,233.5432281,0.039488884,0.01071627,0.014577606,-0.00334981,0.00056432,-0.001896371,0.000428142,0.000542516,0.000253155,0.737253922,0.765504489,0.920701409
13-02-2018,38.57234573,82.25263214,234.1240997,0.009967916,0.007822826,0.002484124,-0.003364372,0.000122086,-0.002087473,0.00042773,0.000531258,0.000250554,0.731866205,0.761275122,0.920305842
14-02-2018,39.28351974,83.54055023,237.2839203,0.018269498,0.015536755,0.013406085,-0.002251772,0.001530934,-0.001286043,0.000449681,0.000531013,0.000261793,0.742187888,0.772129247,0.926850026
15-02-2018,40.60258865,85.24246216,240.311676,0.033026739,0.020167546,0.012679331,-0.00145912,0.001536169,-0.001133992,0.000493891,0.000531217,0.000265718,0.738528877,0.771246381,0.927876862
16-02-2018,40.47115326,84.63527679,240.3820801,-0.003242369,-0.007148529,0.000292927,-0.001656047,0.0012169,-0.001039958,0.000493733,0.000534685,0.000265795,0.738079716,0.771137882,0.923023981
20-02-2018,40.33502197,85.29766846,238.8770294,-0.003369332,0.007795958,-0.00628076,-0.001603504,0.00164101,-0.001555188,0.00049348,0.00053639,0.000265333,0.735316821,0.775496844,0.920116911
21-02-2018,40.15193558,84.16611481,237.6887512,-0.004549475,-0.013354717,-0.004986848,-0.001428976,0.000160746,-0.002178288,0.000491697,0.000532389,0.000260855,0.754654607,0.794182522,0.914928194
22-02-2018,40.48758316,84.38691711,237.9968262,0.008324691,0.002619976,0.001295289,-0.001043317,0.000134996,-0.002217572,0.00049616,0.00053224,0.000260533,0.753228144,0.794857466,0.915033941
23-02-2018,41.19172287,86.53038025,241.7903137,0.017241996,0.02508319,0.01581354,0.000542339,0.001370912,-0.001446044,0.000498968,0.000561707,0.000275997,0.768911031,0.814754675,0.920213359
26-02-2018,42.00616074,87.7815094,244.5981598,0.019578957,0.01435531,0.011545822,0.00233241,0.001790742,-0.000916406,0.000496509,0.000569083,0.000283967,0.794841495,0.840127083,0.920740903
27-02-2018,41.87002945,86.65916443,241.5438538,-0.003246008,-0.012868105,-0.012565654,0.002066638,0.000293988,-0.00206293,0.00049799,0.000563408,0.000281649,0.804571077,0.850137285,0.919911953
28-02-2018,41.8066597,86.26357269,239.0971222,-0.001514634,-0.004575366,-0.010181207,0.002990492,0.000147033,-0.00223099,0.000471326,0.000564412,0.000283862,0.824274238,0.860444329,0.919355308
01-03-2018,41.07436752,85.41724396,235.6203613,-0.017671384,-0.009859408,-0.014647967,0.00243051,0.000279618,-0.002437564,0.00048838,0.000561219,0.000288263,0.821074364,0.863091493,0.917572852
02-03-2018,41.35836411,85.60122681,236.8349915,0.006890411,0.002151615,0.005141789,0.002627625,-0.000769466,-0.002216364,0.000489329,0.000531672,0.000290653,0.843256433,0.862936949,0.932344223
05-03-2018,41.50151825,86.14401245,239.5723267,0.003455334,0.006320844,0.011491701,0.002692731,-9.11E-05,-0.001615065,0.000489344,0.000531142,0.000299611,0.843769862,0.851376562,0.930837219
06-03-2018,41.46632767,85.84963226,240.1797028,-0.000848294,-0.003423155,0.002532043,0.004764691,0.001015555,-0.000446371,0.000374768,0.00049511,0.000278238,0.849289514,0.85078871,0.921932268
07-03-2018,41.08139801,86.34641266,240.0917053,-0.009326301,0.005769956,-0.000366449,0.005525439,0.003293055,0.001570564,0.000338888,0.000398029,0.000184605,0.805714984,0.83764027,0.908740776
08-03-2018,41.5296936,86.87078094,241.253479,0.010853264,0.006054478,0.004827205,0.004092622,0.001812675,0.000871355,0.000275433,0.00033882,0.00016853,0.767564793,0.824124985,0.901121725
09-03-2018,42.24321747,88.81185913,245.4518585,0.017035128,0.022098452,0.017252671,0.005934294,0.003770325,0.001951946,0.000247139,0.000333688,0.00017873,0.755747734,0.84669368,0.913767301
12-03-2018,42.65161133,89.02345276,245.1437836,0.009621246,0.002379659,-0.001255922,0.007721129,0.006393079,0.003712635,0.000187221,0.000167127,9.53E-05,0.657570147,0.794282526,0.832779101
13-03-2018,42.24087524,86.85237885,243.5595398,-0.009676694,-0.024689967,-0.006483481,0.006681408,0.00347398,0.002693897,0.000200236,0.000160831,9.31E-05,0.743728862,0.815521642,0.824440356
14-03-2018,41.88176727,86.3371582,242.3096313,-0.008537776,-0.005949807,-0.005145053,0.004394424,0.002680358,0.001754723,0.000152508,0.000161988,8.82E-05,0.80706168,0.824039097,0.832425482
15-03-2018,41.9310379,86.64079285,242.045639,0.001175731,0.003510678,-0.001090077,0.003975749,0.002475017,0.001584523,0.000151289,0.000160656,8.85E-05,0.803031271,0.827280039,0.831356021
16-03-2018,41.78318787,87.02716064,242.3080597,-0.003532259,0.004449507,0.001083591,0.00293757,0.001947053,0.000997738,0.00014276,0.000152028,8.12E-05,0.777502039,0.806608323,0.819534602
19-03-2018,41.14478683,85.45406342,239.0295715,-0.015396822,-0.0182413,-0.013622616,0.000631686,0.00011806,-0.000254736,0.000108717,0.000152294,8.34E-05,0.786555985,0.836287979,0.823035176
20-03-2018,41.13068771,85.67485046,239.4360809,-0.00034273,0.002580361,0.001699221,0.000769764,0.000581341,-0.00018777,0.000107994,0.000149732,8.36E-05,0.783367797,0.838235196,0.832835026
21-03-2018,40.19888306,85.07688904,238.9765167,-0.022915292,-0.007003898,-0.001921205,-0.000160996,-0.000123414,1.98E-05,0.000134277,0.000149485,8.18E-05,0.772191964,0.769226484,0.869600979
22-03-2018,39.63087845,82.60221863,233.0027924,-0.014230637,-0.029518884,-0.025314853,-0.000622003,-0.000893136,-0.000948172,0.000142989,0.000183314,0.000111686,0.783228216,0.766694359,0.903791943
23-03-2018,38.7131691,80.2011261,228.036438,-0.023428744,-0.029498984,-0.021545006,-0.002134072,-0.002422611,-0.002035805,0.000162593,0.000221155,0.000131404,0.819639186,0.804859826,0.918854016
26-03-2018,40.55094528,86.27281189,234.2752991,0.046379263,0.072976951,0.026991484,-0.000746583,-0.000141955,-0.001503522,0.000259477,0.00046212,0.000157306,0.890463383,0.841388576,0.891067846
27-03-2018,39.51118851,82.30783844,230.2898407,-0.025975207,-0.047048161,-0.017158223,-0.002915829,-0.00306593,-0.002870381,0.000265704,0.000552644,0.000159083,0.903256856,0.843215318,0.888033053
28-03-2018,39.07463074,82.23423767,229.6094513,-0.011110459,-0.000894613,-0.002958865,-0.003290326,-0.002495764,-0.002412915,0.000268909,0.000547734,0.000154164,0.899717694,0.851718699,0.888796334
29-03-2018,39.37974167,83.96369934,232.5432587,0.007778087,0.020812823,0.012696439,-0.002847816,-0.001286803,-0.001323503,0.000274671,0.000573148,0.000161315,0.90183057,0.864442491,0.900097708
02-04-2018,39.12156677,81.43386841,227.5238953,-0.006577619,-0.030593294,-0.021820999,-0.002319541,-0.00227413,-0.001665076,0.000264087,0.000611393,0.000173323,0.889646113,0.82310108,0.914394826
03-04-2018,39.52292633,82.52859497,230.4400787,0.010207022,0.013353579,0.012735599,-0.002161608,-0.001740704,-0.001303466,0.000267665,0.000622327,0.000181238,0.894654696,0.825975768,0.914732919
04-04-2018,40.27869415,84.93887329,232.9055786,0.018941731,0.028787021,0.010642263,-0.00142416,-0.000670886,-0.001343916,0.000287784,0.000664472,0.000180186,0.901594256,0.838613695,0.925752045
05-04-2018,40.55799484,84.98484039,234.7436981,0.006910273,0.000541032,0.007861143,-0.001054705,-0.000482115,-0.001090149,0.000291098,0.00066413,0.000183603,0.897842236,0.841713972,0.920312256
06-04-2018,39.52057648,83.00699615,229.5121918,-0.025911461,-0.023547997,-0.022538121,-0.001844474,-0.001878208,-0.002145943,0.000317915,0.000686731,0.000205408,0.909293805,0.863541768,0.916796193
09-04-2018,39.91255951,83.5037384,230.6434021,0.009869589,0.005966507,0.004916653,-0.001891316,-0.001882397,-0.002141684,0.000316712,0.000686661,0.00020547,0.910117534,0.863909826,0.916714309
10-04-2018,40.66360855,85.44483948,234.3106842,0.018642505,0.022979613,0.015775141,-0.001814774,-0.001840437,-0.002212042,0.000319877,0.000688811,0.000202709,0.910215038,0.865646825,0.918875732
11-04-2018,40.47349548,84.5065155,233.0822754,-0.004686226,-0.011042378,-0.00525644,-0.002496082,-0.002479581,-0.002402543,0.000313263,0.000691726,0.000203088,0.914506488,0.872944971,0.91893842
12-04-2018,40.87250519,86.08882141,234.9998932,0.009810265,0.018550932,0.008193555,-0.001568132,-0.000420491,-0.001703637,0.000317353,0.000684723,0.000207357,0.919578332,0.875378812,0.927602389
13-04-2018,41.01098251,85.62884521,234.3106842,0.003382305,-0.005357367,-0.002937115,-0.001000509,-0.00039228,-0.001598497,0.000315811,0.000684412,0.000206829,0.915220426,0.872499463,0.927268065
16-04-2018,41.26682663,86.63157654,236.2370911,0.006219051,0.011642171,0.008187979,-0.000760351,-5.07E-06,-0.001156685,0.00031812,0.000690734,0.0002114,0.915863483,0.872857641,0.927662149
17-04-2018,41.83481598,88.37947083,238.7644043,0.013669963,0.019975338,0.010641386,5.88E-05,0.00073426,-0.000701551,0.000327443,0.000709129,0.000217891,0.920824464,0.878995528,0.92962717
18-04-2018,41.74093628,88.71987152,238.9412384,-0.002246578,0.003844183,0.000740348,0.000685005,0.001785949,-1.76E-05,0.000315353,0.000690448,0.000209156,0.917242568,0.872920356,0.927933834
19-04-2018,40.55799484,88.41629028,237.6157227,-0.028749411,-0.003427663,-0.005562899,-0.000667694,0.001499853,-0.000363416,0.000356698,0.000691689,0.000210421,0.876383883,0.846620399,0.92764865
20-04-2018,38.89624023,87.39514923,235.600769,-0.041835327,-0.011616452,-0.008516043,-0.001568648,0.001280207,-0.000677456,0.000415837,0.000696625,0.000213519,0.84099762,0.827906479,0.929583405
23-04-2018,38.78357697,87.71711731,235.565567,-0.002900711,0.00367728,-0.000149425,-0.001029128,0.002860977,0.000520898,0.000407603,0.000646859,0.000181675,0.84149046,0.846612343,0.929519255
24-04-2018,38.24374771,85.66564941,232.3930817,-0.014016795,-0.023665139,-0.013559035,-0.00058094,0.003138779,0.000901182,0.000390739,0.000629601,0.00016709,0.832552584,0.840001479,0.929589577
25-04-2018,38.41038513,84.92047119,232.9674072,0.004347781,-0.008736736,0.002468305,-0.002582439,-0.000752349,-0.000266588,0.000277485,0.000376886,0.000131746,0.735512364,0.791349301,0.918645819
26-04-2018,38.54417419,86.71435547,235.3357086,0.003477096,0.020904261,0.010114481,-0.001179949,0.002483481,0.001032112,0.000249894,0.000282178,0.000121097,0.698573782,0.763297035,0.932791216
27-04-2018,38.09822083,88.14946747,235.5566559,-0.011637381,0.016414421,0.00093842,-0.00120504,0.003307721,0.001217697,0.000250431,0.000290597,0.000120265,0.654503071,0.754004282,0.91753911
30-04-2018,38.78827667,86.03359222,233.7451324,0.01795047,-0.02429604,-0.007720118,-0.000720641,0.00115968,0.00024548,0.000264496,0.000308529,0.000116679,0.501829401,0.66960922,0.904564535
01-05-2018,39.68956757,87.39514923,234.1604919,0.022970318,0.015701953,0.001775399,0.000686404,0.003364215,0.001369118,0.000288765,0.000263588,9.11E-05,0.536539657,0.686269846,0.871745714
