Date,AAPL_vol
11-10-2016,0.013483849
12-10-2016,0.012981047
13-10-2016,0.012884196
14-10-2016,0.012508397
17-10-2016,0.012255209
18-10-2016,0.011888508
19-10-2016,0.011527821
20-10-2016,0.011331515
21-10-2016,0.011024219
24-10-2016,0.010934075
25-10-2016,0.011035998
26-10-2016,0.010813499
27-10-2016,0.012801101
28-10-2016,0.012976628
31-10-2016,0.012695148
01-11-2016,0.012336216
02-11-2016,0.013510091
03-11-2016,0.01300828
04-11-2016,0.013104522
07-11-2016,0.013108253
08-11-2016,0.01321245
09-11-2016,0.01287882
10-11-2016,0.012484397
11-11-2016,0.015081179
14-11-2016,0.014493699
15-11-2016,0.016180206
16-11-2016,0.015775251
17-11-2016,0.01710351
18-11-2016,0.016299068
21-11-2016,0.015569202
22-11-2016,0.015884437
23-11-2016,0.015177673
25-11-2016,0.014625395
28-11-2016,0.014069369
29-11-2016,0.013520877
30-11-2016,0.013051583
01-12-2016,0.012887937
02-12-2016,0.012928584
05-12-2016,0.01249742
06-12-2016,0.012374482
07-12-2016,0.012114643
08-12-2016,0.012083958
09-12-2016,0.01208556
12-12-2016,0.012677585
13-12-2016,0.012337955
14-12-2016,0.01288744
15-12-2016,0.012438727
16-12-2016,0.012109243
19-12-2016,0.011729813
20-12-2016,0.011539254
21-12-2016,0.011218483
22-12-2016,0.01092837
23-12-2016,0.010975611
27-12-2016,0.010717583
28-12-2016,0.01058313
29-12-2016,0.010449035
30-12-2016,0.01025473
03-01-2017,0.010360251
04-01-2017,0.010155492
05-01-2017,0.009983502
06-01-2017,0.009884058
09-01-2017,0.010257051
10-01-2017,0.010457747
11-01-2017,0.01023834
12-01-2017,0.010180172
13-01-2017,0.01009561
17-01-2017,0.009946971
18-01-2017,0.010024794
19-01-2017,0.009850881
20-01-2017,0.009754548
23-01-2017,0.009620117
24-01-2017,0.009489676
25-01-2017,0.009393127
26-01-2017,0.010415812
27-01-2017,0.010201372
30-01-2017,0.010013451
31-01-2017,0.009890162
01-02-2017,0.009768136
02-02-2017,0.020747159
03-02-2017,0.019666351
06-02-2017,0.018682322
07-02-2017,0.018072877
08-02-2017,0.017565512
09-02-2017,0.016729905
10-02-2017,0.016192251
13-02-2017,0.015510206
14-02-2017,0.015131539
15-02-2017,0.01493775
16-02-2017,0.014379202
17-02-2017,0.01382846
21-02-2017,0.013339337
22-02-2017,0.012980257
23-02-2017,0.012556839
24-02-2017,0.012267698
27-02-2017,0.011873392
28-02-2017,0.011517535
01-03-2017,0.011192344
02-03-2017,0.01244481
03-03-2017,0.012156684
06-03-2017,0.011850577
07-03-2017,0.0115326
08-03-2017,0.011207863
09-03-2017,0.011043434
10-03-2017,0.010795099
13-03-2017,0.010549093
14-03-2017,0.010320848
15-03-2017,0.010175406
16-03-2017,0.01051047
17-03-2017,0.010288003
20-03-2017,0.010239382
21-03-2017,0.010456483
22-03-2017,0.010833133
23-03-2017,0.010953328
24-03-2017,0.010736503
27-03-2017,0.010539667
28-03-2017,0.010311849
