"SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
209.5,209.740005493164,209.009994506836,209.320007324219,51980100,175.876846313477
209.429992675781,209.800003051758,208.860000610352,209.559997558594,37317800,176.078460693359
209.75,209.889999389648,208.559997558594,208.690002441406,112822700,175.347473144531
209.440002441406,210.820007324219,209.110000610352,210.679992675781,97858400,177.019546508789
210.619995117188,211,208.229995727539,208.529998779297,108441300,175.213073730469
208.830001831055,209.149993896484,204.75,205.610000610352,166224200,172.75959777832
205.610000610352,209.970001220703,205.610000610352,209.619995117188,192913900,176.128936767578
209.229995727539,209.729995727539,207.199996948242,208.350006103516,102027100,175.061798095703
206.490005493164,208.289993286133,205.779998779297,206.949996948242,103372400,173.885513305664
206.190002441406,208.679992675781,204.179992675781,205.339996337891,162401500,172.532730102539
205.419998168945,207.429992675781,205.139999389648,205.869995117188,116128900,172.978103637695
203.350006103516,204.139999389648,201.509994506836,201.880004882812,211173300,169.625534057617
202.070007324219,203.050003051758,199.949996948242,202.899993896484,182385200,170.482543945312
204.699996948242,206.110000610352,202.869995117188,205.029998779297,154069600,172.272262573242
206.369995117188,208.389999389648,204.800003051758,208.029998779297,197017000,174.792938232422
208.399993896484,208.479995727539,204.839996337891,204.860000610352,173092500,172.129440307617
202.770004272461,202.929992675781,199.830001831055,200.020004272461,251393500,169.062911987305
201.410003662109,201.880004882812,200.089996337891,201.669998168945,99094300,170.457489013672
202.720001220703,203.850006103516,201.550003051758,203.5,111026200,172.004302978516
204.690002441406,206.070007324219,204.580001831055,206.020004272461,110987200,174.13427734375
205.720001220703,206.330001831055,205.419998168945,205.679992675781,48539600,173.846969604492
204.860000610352,205.259994506836,203.940002441406,205.210006713867,65899900,173.449691772461
206.509994506836,207.789993286133,206.470001220703,207.399993896484,92640700,175.300765991211
207.110000610352,207.210006713867,205.759994506836,205.929992675781,63317700,174.058242797852
205.130004882812,205.889999389648,203.869995117188,203.869995117188,114877900,172.317047119141
200.490005493164,201.029998779297,198.589996337891,201.020004272461,222353500,169.908187866211
201.399993896484,201.899993896484,200.050003051758,201.360000610352,110845800,170.195541381836
198.339996337891,200.059997558594,197.600006103516,198.820007324219,152112600,168.048675537109
195.330001831055,197.440002441406,193.589996337891,194.050003051758,213436100,164.016906738281
195.190002441406,195.850006103516,191.580001831055,191.919998168945,209817200,162.216522216797
