Date,SPY_Return,SPY_V,RollingVol21,RollingSkew21,Drawdown,VolOfVol,VIX,C_t,State,Regime,Prob_Recovery,Prob_StableBull,Prob_Correction,Prob_Panic,Prob_BullRecovery
2021-05-18,-0.008652844,0.266871865,0.009176295,-0.236830812,-0.024115997,0.001097118,21.34000015,0.830168219,2,Correction,4.040538236223411e-07,3.7448736409189995e-09,0.814149681265633,2.7662954529547394e-05,0.18582224798144
2021-05-19,-0.002625327,0.557507287,0.009053933,-0.300334624,-0.026674652,0.001178529,22.18000031,0.833365528,2,Correction,3.7279571801669283e-07,1.8047055317879333e-12,0.6780489037301854,9.356995674957484e-05,0.32185715351621663
2021-05-20,0.010700514,0.409488037,0.009125758,-0.286792403,-0.016203647,0.001251436,20.67000008,0.845338846,4,Bull Recovery,2.4697507617983604e-07,8.286748135533648e-11,0.17171466623136258,5.835722731570213e-05,0.8282267294842259
2021-05-21,-0.00081907,0.187502856,0.008888927,-0.393372181,-0.017009115,0.00129802,20.14999962,0.837044734,4,Bull Recovery,8.145688836291282e-08,8.346777762396395e-08,0.030607849950242627,5.288613417179485e-06,0.9693866965123042
2021-05-24,0.010142599,-0.02349968,0.008852151,-0.402353244,-0.006988301,0.001334081,18.39999962,0.832593946,4,Bull Recovery,8.748157907422224e-09,1.737321150706988e-07,0.0012457812423431606,5.188872418761525e-07,0.9987535173899806
2021-05-25,-0.002221191,-0.199989795,0.008858039,-0.3319514,-0.009191522,0.001362946,18.84000015,0.82782095,4,Bull Recovery,2.978577254404796e-10,7.644578836101381e-07,6.290278490378552e-05,1.2263300731773252e-07,0.9999362098270957
2021-05-26,0.001982566,-0.315101462,0.008867456,-0.366668387,-0.00722523,0.001363106,17.36000061,0.82853209,4,Bull Recovery,3.7351387304183164e-11,1.267166310961238e-05,9.773272505462083e-06,5.1644867715460855e-08,0.9999775033813734
2021-05-27,0.000524854,-0.473740762,0.008867103,-0.380110535,-0.006704032,0.001351744,16.73999977,0.86753601,4,Bull Recovery,4.092783009240304e-12,2.6977055951736197e-05,5.486317132206983e-06,2.419418450629283e-08,0.9999675124292917
2021-05-28,0.001787095,-0.601434565,0.008764477,-0.334648703,-0.004927331,0.001321379,16.76000023,0.884010398,4,Bull Recovery,7.676867453121541e-13,1.2037965449846479e-05,2.1796249743955394e-06,1.3272165537515547e-08,0.9999857691357976
2021-06-01,-0.000881049,-0.727431324,0.008637449,-0.423757893,-0.005803652,0.001295487,17.89999962,0.885383747,4,Bull Recovery,2.3593176209476466e-14,7.003427596849047e-07,1.3431811453226323e-06,1.2359717906668353e-08,0.9999979441166248
