Date,SPY_Return,SPY_V,RollingVol21,RollingSkew21,Drawdown,VolOfVol,VIX,C_t
05-07-2016,-0.007219306,0.703584075,0.012139405,-1.12645085,-0.013543628,0.002802294,15.57999992,0.854286452
06-07-2016,0.005979489,0.848053723,0.012160549,-1.128945302,-0.007627453,0.002966957,14.96000004,0.853958835
07-07-2016,-0.0006204,0.568150522,0.012154655,-1.104467812,-0.00824293,0.003096182,14.76000023,0.85274284
08-07-2016,0.014781018,0.365599775,0.012573354,-1.04580158,0,0.003221791,13.19999981,0.858943171
11-07-2016,0.003521026,0.155291429,0.012586001,-1.098536776,0,0.003296872,13.53999996,0.877342127
12-07-2016,0.00723653,-0.047796288,0.012446434,-1.298234287,0,0.003331203,13.55000019,0.881171193
13-07-2016,-0.000139433,-0.22545607,0.012278489,-1.422255233,-0.000139423,0.003340808,13.03999996,0.878181946
14-07-2016,0.005568083,-0.379235095,0.012275963,-1.510062765,0,0.003305363,12.81999969,0.85297105
15-07-2016,-0.00134299,-0.524703904,0.012275236,-1.510900326,-0.001342089,0.003214623,12.67000008,0.85190758
18-07-2016,0.002683931,-0.57322815,0.012274301,-1.507730286,0,0.00304969,12.43999958,0.848430599
19-07-2016,-0.001016992,-0.703785284,0.012224569,-1.554101912,-0.001016475,0.002839237,11.97000027,0.864698222
20-07-2016,0.004154364,-0.72564205,0.012195241,-1.540087349,0,0.002571237,11.77000046,0.775190115
21-07-2016,-0.00378455,-0.838041232,0.012259891,-1.442390868,-0.003777397,0.002204117,12.73999977,0.78046571
22-07-2016,0.004475379,-0.724135043,0.012247924,-1.517995389,0,0.001691321,12.02000046,0.757577878
25-07-2016,-0.002719716,-0.835737855,0.012026321,-1.453863623,-0.00271602,0.00078535,12.86999989,0.74281445
26-07-2016,0.000461513,-0.784571206,0.008348228,-0.22309047,-0.002255654,0.000975887,13.05000019,0.610065911
27-07-2016,-0.001061725,-0.892974181,0.006893249,0.706878939,-0.003314422,0.001421195,12.82999992,0.229668586
28-07-2016,0.001153705,-0.896903148,0.006117225,0.795234563,-0.002163878,0.001872279,12.72000027,0.181310116
29-07-2016,0.001613597,-0.992799235,0.005238573,0.756941414,-0.000552472,0.002314814,11.86999989,0.154685656
01-08-2016,-0.000829511,-1.08074882,0.004602343,0.821555253,-0.001381181,0.002711467,12.43999958,0.126711614
02-08-2016,-0.006428086,-1.137985307,0.004926975,0.696346063,-0.007779801,0.002982754,13.36999989,0.163744409
03-08-2016,0.002918709,-0.860149779,0.004535716,0.901330146,-0.004879568,0.003224001,12.85999966,0.143739461
04-08-2016,0.001063311,-0.957259438,0.004431806,1.083831504,-0.003820883,0.003415554,12.42000008,0.149307247
05-08-2016,0.008145552,-1.047329997,0.00462963,0.82869801,0,0.003543839,11.39000034,0.16042024
08-08-2016,-0.000596001,-1.115940162,0.003595345,0.045163866,-0.000595824,0.003680698,11.5,0.160517463
09-08-2016,0.000596001,-1.166737585,0.003557147,0.152485777,0,0.003763817,11.65999985,0.165370357
10-08-2016,-0.002477991,-1.230694893,0.003337961,0.227270158,-0.002474923,0.003815834,12.05000019,0.19514127
11-08-2016,0.004629819,-1.155684759,0.003446181,0.08651858,0,0.003819949,11.68000031,0.180297089
12-08-2016,-0.000869294,-1.215920792,0.003285201,0.225885945,-0.000868916,0.003783643,11.55000019,0.176528157
15-08-2016,0.002879641,-1.213367965,0.003295146,0.06415319,0,0.003694842,11.81000042,0.172125333
16-08-2016,-0.005170831,-1.270430602,0.00349979,0.130693749,-0.005157485,0.003541563,12.64000034,0.184755587
17-08-2016,0.001879311,-1.051494758,0.003500715,0.016753697,-0.003286109,0.003331322,12.18999958,0.169644633
18-08-2016,0.002241141,-1.126132319,0.00342431,0.043291417,-0.001049828,0.003053846,11.43000031,0.178417446
19-08-2016,-0.001463043,-1.191360787,0.003318763,0.037970728,-0.002510267,0.00267602,11.34000015,0.158472459
22-08-2016,-4.57E-05,-1.207427466,0.003192016,0.150912514,-0.00255589,0.0021548,12.27000046,0.185140618
23-08-2016,0.002011777,-1.195361892,0.003136047,-0.008594634,-0.000547235,0.001383765,12.38000011,0.183201005
24-08-2016,-0.005128114,-1.268525554,0.003368702,-0.003358437,-0.005659424,0.00103924,13.44999981,0.186878583
25-08-2016,-0.000689059,-1.055182351,0.003362472,-0.017705815,-0.006344347,0.000821295,13.63000011,0.514910682
26-08-2016,-0.0018851,-1.085738297,0.00338733,0.100153624,-0.008215723,0.000650266,13.64999962,0.550735072
29-08-2016,0.004912117,-1.059063138,0.003533656,0.075822031,-0.003331978,0.000556856,12.93999958,0.546860494
30-08-2016,-0.001649949,-1.134433505,0.003550927,0.101957096,-0.004975074,0.000515936,13.11999989,0.642096575
31-08-2016,-0.002847912,-1.131498332,0.003291653,0.351064259,-0.007804786,0.000426741,13.42000008,0.618522702
01-09-2016,4.61E-05,-1.046722888,0.003241164,0.473508081,-0.007758999,0.000367572,13.47999954,0.587770358
02-09-2016,0.004497736,-1.100878827,0.003367599,0.373735488,-0.003286109,0.000298828,11.97999954,0.591382716
06-09-2016,0.003017825,-1.177644028,0.002938731,-0.074009714,-0.000273658,0.000157962,12.02000046,0.430057415
07-09-2016,-9.16E-05,-1.255459238,0.002934084,-0.098603613,-0.000365232,0.000174456,11.93999958,0.436557619
08-09-2016,-0.002285676,-1.323652436,0.002982082,0.01752908,-0.002647464,0.000182286,12.51000023,0.463249698
09-09-2016,-0.024225614,-1.221597306,0.006079491,-2.735965292,-0.026518627,0.000632697,17.5,0.692268557
12-09-2016,0.014245242,0.57890591,0.006836757,-1.59403534,-0.012551906,0.000975453,15.15999985,0.773886945
13-09-2016,-0.014479516,0.349479183,0.007487115,-1.279965963,-0.026746662,0.001288979,17.85000038,0.604978556
14-09-2016,-0.000375256,0.792234308,0.007432934,-1.25217655,-0.027111812,0.001506412,18.13999939,0.524793441
15-09-2016,0.009943025,0.651251878,0.007764608,-1.222047871,-0.017390109,0.001710201,16.29999924,0.602110902
16-09-2016,-0.003873064,0.404572598,0.007774632,-1.114472497,-0.021188459,0.001870066,15.36999989,0.602663707
19-09-2016,0.000187429,0.248366063,0.007746497,-1.091017534,-0.021004985,0.00199121,15.52999973,0.601010376
20-09-2016,4.67E-05,0.227299048,0.007748609,-1.118521439,-0.02095928,0.002080653,15.92000008,0.600383518
21-09-2016,0.011183054,0.016091918,0.008184857,-0.985827374,-0.009949166,0.002169068,13.30000019,0.576906769
22-09-2016,0.006281797,-0.162994059,0.008298822,-0.996094974,-0.003710292,0.002232379,12.02000046,0.577258121
23-09-2016,-0.005494421,-0.322162873,0.008310184,-0.988175982,-0.009169317,0.002278518,12.28999996,0.595531384
26-09-2016,-0.008135291,-0.104472619,0.008490416,-0.84042985,-0.017197314,0.002308527,14.5,0.599221801
27-09-2016,0.006188756,0.194860845,0.008607644,-0.919468346,-0.011096128,0.002319029,13.10000038,0.57017007
28-09-2016,0.004951071,-0.002939662,0.008608791,-0.919522033,-0.006187854,0.002310445,12.39000034,0.576605204
29-09-2016,-0.009088064,-0.186168484,0.00882448,-0.783493939,-0.015178766,0.002286558,14.02000046,0.599035946
30-09-2016,0.007517669,0.087878503,0.008974667,-0.876731871,-0.007747307,0.002220533,13.28999996,0.601194701
03-10-2016,-0.00240677,-0.106609853,0.008990024,-0.833289923,-0.010132559,0.00211262,13.56999969,0.603504846
04-10-2016,-0.0051109,-0.271867157,0.008988087,-0.692919677,-0.015178766,0.001972014,13.63000011,0.59886234
05-10-2016,0.004415172,-0.034241896,0.0090211,-0.7025881,-0.010820998,0.001725531,12.98999977,0.597288534
06-10-2016,0.000695728,-0.21820268,0.00902454,-0.714440459,-0.010132559,0.001374036,12.84000015,0.597916242
07-10-2016,-0.003435498,-0.389842077,0.009039598,-0.693652438,-0.013527412,0.000805156,13.47999954,0.604858686
10-10-2016,0.005194801,-0.287144034,0.007293521,-0.135403737,-0.00838955,0.000678843,13.38000011,0.503598595
11-10-2016,-0.012710003,-0.444244156,0.007194773,-0.260222138,-0.020913166,0.000644979,15.35999966,0.452608886
12-10-2016,0.001311313,0.208316112,0.006435344,-0.187597312,-0.019628434,0.000742763,15.90999985,0.557080458
13-10-2016,-0.003280717,-0.010414418,0.006482707,-0.126804817,-0.022839486,0.00081859,16.69000053,0.651593934
14-10-2016,0.000515964,-0.002418119,0.006089394,-0.135237341,-0.022335176,0.000934614,16.12000084,0.561895212
17-10-2016,-0.003478369,-0.198773373,0.00607822,-0.142298242,-0.025729947,0.001032458,16.20999908,0.56702089
18-10-2016,0.006243122,-0.116193971,0.006240082,-0.216723946,-0.019628434,0.001102415,15.27999973,0.55983526
19-10-2016,0.002663477,-0.290167699,0.006265733,-0.271570907,-0.017013757,0.001161776,14.40999985,0.551758155
20-10-2016,-0.00186833,-0.45635598,0.005746764,-0.379018529,-0.018848585,0.00124821,13.75,0.585702174
21-10-2016,0.000467306,-0.548905289,0.005543704,-0.359248634,-0.018389981,0.001331025,13.34000015,0.398155179
24-10-2016,0.004243397,-0.614075458,0.00553047,-0.55023776,-0.014215769,0.001396696,13.02000046,0.400105869
25-10-2016,-0.003355876,-0.740748684,0.005282222,-0.60365722,-0.017518394,0.001456941,13.46000004,0.388197647
26-10-2016,-0.002009705,-0.627412453,0.005100587,-0.529968876,-0.01949091,0.001505268,14.23999977,0.386600918
27-10-2016,-0.002670633,-0.634416925,0.004969831,-0.41701018,-0.022105996,0.001541439,15.35999966,0.404306577
28-10-2016,-0.002959844,-0.58733503,0.004624867,-0.418943791,-0.024996131,0.001565882,16.19000053,0.342196297
31-10-2016,4.70E-05,-0.538740838,0.004251405,-0.622083301,-0.024950262,0.001577907,17.05999947,0.334173344
01-11-2016,-0.007271571,-0.648332857,0.004468457,-0.527289425,-0.03201469,0.001540751,18.55999947,0.364295342
02-11-2016,-0.006036675,-0.352649779,0.004514701,-0.512786698,-0.0378405,0.0014675,19.31999969,0.37396521
03-11-2016,-0.004587673,-0.124656068,0.004389666,-0.384233814,-0.042244464,0.001358794,22.07999992,0.389577444
04-11-2016,-0.001102119,-0.02270334,0.004361379,-0.338233201,-0.043299443,0.001199824,22.51000023,0.387031145
07-11-2016,0.021817191,-0.138019704,0.006694093,1.548732008,-0.02219757,0.000959436,18.70999908,0.51459778
08-11-2016,0.004493745,-0.285679625,0.00666638,1.57342531,-0.017793688,0.000912641,18.73999977,0.513548905
09-11-2016,0.01054609,-0.444480847,0.006456931,1.802596765,-0.007380439,0.000859545,14.38000011,0.507384103
10-11-2016,0.002492463,-0.582310134,0.006468081,1.767681708,-0.004903286,0.000861291,14.73999977,0.496691848
11-11-2016,-0.002307641,-0.717352669,0.006441493,1.774461838,-0.007196965,0.000859066,14.17000008,0.483096608
14-11-2016,0.000785358,-0.705723792,0.006441259,1.768535782,-0.006416952,0.000873775,14.47999954,0.478640498
15-11-2016,0.007772244,-0.78264452,0.006537478,1.516112661,0,0.000893205,13.36999989,0.522959598
16-11-2016,-0.001879709,-0.881374745,0.006470645,1.718687607,-0.001877944,0.000903199,13.72000027,0.470027569
17-11-2016,0.005127251,-0.812059176,0.006525975,1.632838353,0,0.000914758,13.35000038,0.476594657
18-11-2016,-0.00224004,-0.913960297,0.006534742,1.632644881,-0.002237533,0.000937198,12.85000038,0.474361679
21-11-2016,0.007523232,-0.837580559,0.006684707,1.417814619,0,0.000964493,12.42000008,0.574667068
22-11-2016,0.001951247,-0.933206005,0.006653805,1.483933248,0,0.000986314,12.40999985,0.574738784
23-11-2016,0.000543972,-1.03109791,0.00657292,1.470019471,0,0.000996527,12.43000031,0.582033356
25-11-2016,0.003708303,-1.120670148,0.006541656,1.372778675,0,0.000995472,12.34000015,0.580890795
28-11-2016,-0.004705756,-1.197941152,0.006624234,1.335409652,-0.004694702,0.000986089,13.14999962,0.563744401
29-11-2016,0.00194841,-1.054495003,0.006541165,1.294471251,-0.002753548,0.000945268,12.89999962,0.554894108
30-11-2016,-0.002402017,-1.140954046,0.006596316,1.304036483,-0.005146077,0.000857874,13.32999992,0.563788436
01-12-2016,-0.003682062,-1.118821289,0.006395033,1.460509963,-0.008802455,0.000767074,14.06999969,0.569871184
02-12-2016,0.000500634,-0.936797969,0.006143878,1.600727529,-0.008306103,0.00065814,14.11999989,0.57542198
05-12-2016,0.005990721,-1.009778633,0.005990865,1.555028972,-0.002347311,0.000495968,12.14000034,0.54133169
06-12-2016,0.003162536,-1.083367822,0.005927172,1.513971081,0,0.000209646,11.78999996,0.520912696
07-12-2016,0.012995876,-1.1562659,0.004707416,0.482074703,0,0.000433296,12.22000027,0.469978556
08-12-2016,0.002445762,-1.200125183,0.004685026,0.549020578,0,0.000563382,12.64000034,0.455842419
09-12-2016,0.006022426,-1.259868469,0.004385915,0.520317988,0,0.000696849,11.75,0.524260967
12-12-2016,-0.001148616,-1.306071387,0.004444471,0.59849421,-0.001147957,0.00078941,12.64000034,0.540167289
13-12-2016,0.006651884,-1.264696973,0.004439778,0.409733553,0,0.000862087,12.72000027,0.579647393
14-12-2016,-0.00828871,-1.308064593,0.005012651,0.050970392,-0.008254453,0.00088107,13.18999958,0.564869233
15-12-2016,0.004108938,-0.817692421,0.004863242,0.084635402,-0.004171049,0.000898414,12.78999996,0.528104826
